,Formula,State,Molar Mass,deltaH0,deltaG0,S0,Cp,Charge
1496,CsF,g,151.9038,-359.0,-375.7,243.24,35.86,0.0
1497,Cs2F2,g,303.8076,-897.0,-891.6,355.37,79.58,0.0
1498,CsHF2,cr,171.9102,-923.8,-858.9,135.19,87.28,0.0
1499,CsCl,cr,168.3584,-443.04,-414.53,101.17,52.47,0.0
1500,CsCl,g,168.3584,-240.20,-257.80,255.96,36.94,0.0
1501,CsCl,ai,168.3584,-425.43,-423.24,189.54,-146.9,0.0
1502,Cs2Cl2,g,336.7168,-656.1,-654.0,387.1,81.6,0.0
1503,CsClO4,cr,232.3560,-443.09,-314.26,175.06,108.28,0.0
1504,CsBr,cr,212.8144,-405.81,-391.41,113.05,52.93,0.0
1505,CsBr,g,212.8144,-209.2,-241.0,267.43,37.07,0.0
1506,CS2Br2,g,425.6288,-545.6,-572.4,412.2,82.4,0.0
1507,CsI,cr,259.8098,-346.60,-340.58,123.05,52.80,0.0
1508,CsI,g,259.8098,-151.9,-191.2,275.29,37.45,0.0
1509,CsI,ai,259.8098,-313.47,-343.59,244.3,-152.7,0.0
1510,Cs2I2,g,519.6196,-458.6,-501.2,429.4,82.4,0.0
1511,Cs2SO4,cr,361.8724,-1443.02,-1323.58,211.92,134.89,0.0
1512,CsNO3,ai,194.9103,-465.64,-403.27,279.5,-99.,0.0
1513,Cs2CO3,cr,325.8202,-1139.7,-1054.3,204.47,123.85,0.0
1514,CsBO2,cr,175.7152,-972.4,-915.1,104.35,80.58,0.0
1515,CsBO2,g,175.7152,-703.3,-708.8,314.41,59.41,0.0
1516,CsAl(SO4)2·12H2O,cr,568.1949,-6094.8,-5167.4,686.09,614.6,0.0
1517,CsCuCl3,cr,302.8044,-698.7,-627.1,213.38,127.82,0.0
1518,Cs2Cr2O7,cr,481.7986,-2088.82,-1908.17,330.08,231.54,0.0
1519,Cs2UO4,cr,567.8374,-1928.8,-1806.2,219.66,152.76,0.0
